timestep,mean,median,mode
T381,64.75,65.5,64
T382,63.25,64.5,65
T383,63.0,63.0,64
T384,65.55,65.5,71
T385,120.7,111.0,111
T386,123.3,120.5,120
T387,137.25,137.5,194
T388,148.95,152.5,103
T389,164.45,173.0,204
T390,171.8,175.0,233
T391,177.45,180.5,230
T392,175.25,168.0,180
T393,169.0,174.0,197
T394,179.45,176.0,176
T395,184.5,188.0,227
T396,186.2,185.5,181
T397,202.45,195.0,202
T398,196.4,195.0,200
T399,183.3,175.0,174
T400,200.15,188.5,182
T401,200.95,193.5,198
T402,203.15,187.0,183
T403,214.0,223.5,309
T404,215.5,207.5,264
T405,215.8,216.5,208
T406,207.45,213.0,132
T407,215.65,220.5,135
T408,220.4,224.5,227
T409,210.7,209.0,238
T410,200.4,197.0,102
T411,207.7,194.5,194
T412,201.35,192.0,113
T413,203.9,195.0,191
T414,201.4,175.5,153
T415,202.4,174.5,161
T416,201.7,195.0,139
T417,193.95,190.0,190
T418,191.85,185.0,239
T419,186.5,177.5,167
T420,189.1,185.5,171
T421,51.75,52.0,52
T422,48.7,47.5,47
T423,48.7,49.0,43
T424,48.7,49.5,42
T425,49.55,50.5,45
T426,48.95,49.0,45
T427,45.6,45.0,45
T428,44.4,44.0,41
T429,45.05,45.0,49
T430,45.05,46.0,46
T431,43.45,44.5,37
T432,41.85,42.0,43
T433,42.2,43.0,43
T434,42.0,41.0,44
T435,40.55,41.5,42
T436,41.7,41.0,41
T437,40.1,40.5,43
T438,39.8,40.0,43
T439,40.0,40.5,41
T440,41.0,40.0,40
T441,40.15,40.5,42
T442,40.95,41.0,33
T443,41.35,42.0,44
T444,39.4,39.5,40
T445,41.35,42.0,37
T446,39.2,40.0,40
T447,41.65,41.0,40
T448,38.4,40.0,43
T449,40.95,41.5,42
T450,40.25,41.0,44
T451,39.1,40.5,41
T452,39.75,40.0,36
T453,40.0,39.5,38
T454,39.9,39.5,39
T455,40.65,41.5,38
T456,39.5,40.0,40
T457,39.8,39.0,31
T458,42.4,43.0,42
T459,38.4,37.5,37
T460,38.4,38.5,44
T461,40.2,41.0,41
T462,42.4,43.0,44
T463,39.5,39.0,43
T464,42.15,42.5,40
T465,41.75,42.0,42
T466,42.2,42.0,44
T467,41.3,40.0,38
T468,43.45,43.5,43
T469,41.25,40.5,36
