node_ID,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16
10001174201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003390777,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
10003492074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003492075,1,0,2,1,4,0,0,1,2,0,0,1,1,0,0,0,0
10003979588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003979600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010420479,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10023329796,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10028791060,0,1,1,0,1,1,0,1,1,1,4,0,1,0,0,0,0
10028791067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10028791068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10028791069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10028791082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10028878557,0,3,7,7,8,4,8,10,10,3,11,8,7,5,1,0,0
10029295322,2,8,2,2,3,1,6,4,5,6,3,0,1,0,0,0,0
10032974910,0,1,1,0,1,1,0,1,1,1,4,0,1,0,0,0,0
10038588810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005426510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10062944239,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
10091468314,1,1,3,1,1,3,1,4,0,1,1,0,0,0,0,0,0
10093909262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10093909269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10094610136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10094785131,0,3,2,10,6,6,3,7,3,5,5,1,3,0,0,0,0
10168584607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10241527085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10241527090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037035924,0,2,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0
1037147826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037267117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037268631,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1037268655,0,3,3,2,4,9,1,2,5,4,3,4,1,0,0,0,0
10564712613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1062372933-AddedOffRampNode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10753151411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078399170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078399174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078399184,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1078399186,0,3,7,4,4,4,7,6,4,6,4,4,4,0,0,0,0
1078399202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078399209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10839591758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10841378306,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
10841378307,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
10841378309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10842073319,2,4,3,2,2,2,2,2,2,4,3,5,4,0,0,0,0
10845521726,0,2,2,1,1,2,0,2,1,2,3,1,3,1,0,0,0
10850753028,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1096956269,1,14,27,27,39,39,32,35,39,34,27,38,28,20,7,0,0
1096956272,1,12,11,9,15,15,10,10,9,19,10,10,9,1,0,0,0
1096956308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1096956311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1097017955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1097028927,1,2,2,2,4,0,0,3,2,0,1,2,1,0,0,0,0
1097941534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10994021557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10997208247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11011502666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11011502669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104617516-AddedOffRampNode,0,3,0,0,4,2,5,2,2,3,4,1,3,2,0,0,0
11158353816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11229706391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11368062370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11383284374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11383284375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11383284378,0,1,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0
11385564447,0,0,2,3,1,5,5,7,7,9,6,3,8,6,3,0,0
11387570532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11393438048,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11393438055,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11393438140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11442861631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11449185287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
